รหัสพัสดุ,รายละเอียดพัสดุ,"หน่วย
นับ",ราคากลาง,ประเภท,ใช้ในงานแก้ไฟ
1030010105,"INSULATOR,PIN-POST,56/57-3,TIS.2623",EA,"2,072.00",พัสดุหลัก,ใช้
1030010106,"INSULATOR,PIN-POST,56/57-4,TIS.2623",EA,"3,446.00",พัสดุหลัก,ใช้
1030010204,ลูกถ้วยแบบโพสท์ 115 เควี ติดตั้งในแนวนอน (พร้อมแคล้มป์รหัส 1020570106),EA,"25,590.00",พัสดุหลัก,ไม่ใช้
1030020000,ลูกถ้วยแขวนแบบ ก (แบบ 52-1) มอก.354,EA,332,พัสดุหลัก,ใช้
1030020001,ลูกถ้วยแขวนแบบ ค (แบบ 52-3) มอก.354,EA,702,พัสดุหลัก,ใช้
1030020002,ลูกถ้วยแขวนแบบ ง (แบบ 52-4) มอก.354,EA,637,พัสดุหลัก,ใช้
1030020003,ลูกถ้วยแขวนแบบ จ (แบบ 52-8) มอก.354,EA,949,พัสดุหลัก,ใช้
1030020100,"ลูกถ้วยแขวนชนิดคอมโพสิต 115 เควี ยาว 1,100 - 1,200 มม. รับแรงดึง ไม่น้อยกว่า 110 กิโลนิวตัน",EA,981,พัสดุหลัก,ใช้
1030020101,"ลูกถ้วยแขวนชนิดคอมโพสิต 115 เควี ยาว 1,500 - 1,600 มม. รับแรงดึงไม่น้อยกว่า 110 กิโลนิวตัน",EA,"1,157.00",พัสดุหลัก,ใช้
1030020103,"ลูกถ้วยแขวนชนิดคอมโพสิต 115 เควี ยาว 1,500 - 1,600 มม. รับแรงดึงไม่น้อยกว่า  220 กิโลนิวตัน",EA,"1,520.00",พัสดุหลัก,ใช้
1030030000,ลูกรอกแรงต่ำแบบ ข (แบบ 53-2 ) มอก.2623,EA,27,พัสดุหลัก,ใช้
1030030100,ลูกถ้วยยึดโยงแบบ ก (แบบ 54-1) มอก.2623,EA,44.1,พัสดุหลัก,ใช้
1030030103,ลูกถ้วยยึดโยงแบบ ง (แบบ 54-4) มอก.2623,EA,142,พัสดุหลัก,ใช้
1040000000,ล่อฟ้า 21 เควี 5 กิโลแอมป์,EA,775,พัสดุหลัก,ใช้
1040000001,ล่อฟ้า 21 เควี 10 กิโลแอมป์ Class 2,EA,"1,320.00",พัสดุหลัก,ใช้
1040000002,ล่อฟ้า 24 เควี 5 กิโลแอมป์,EA,833,พัสดุหลัก,ใช้
1040000003,ล่อฟ้า 24 เควี 10 กิโลแอมป์ Class 2,EA,"1,650.00",พัสดุหลัก,ใช้
1040000007,ล่อฟ้า 21 เควี 5 กิโลแอมป์ (without mounting brackets),EA,725,พัสดุหลัก,ใช้
1040000008,ล่อฟ้า 24 เควี 5 กิโลแอมป์ (without mounting brackets),EA,794,พัสดุหลัก,ใช้
1040000100,ล่อฟ้า 30 เควี 5 กิโลแอมป์,EA,962,พัสดุหลัก,ใช้
1040000101,ล่อฟ้า 30 เควี 10 กิโลแอมป์,EA,"1,750.00",พัสดุหลัก,ใช้
1040000103,ล่อฟ้า 30 kV 10 kA ชนิดฉนวนพอลิเมอร์ สำหรับใช้ในบริเวณที่มีมลภาวะ,EA,"10,880.00",พัสดุหลัก,ใช้
1040000106,ล่อฟ้า 30 เควี 5 กิโลแอมป์ (without mounting brackets),EA,900,พัสดุหลัก,ใช้
1040000300,ล่อฟ้า 250-500 โวลท์ 2.5-5.0 กิโลแอมป์,EA,165,พัสดุหลัก,ใช้
1040010002,ดรอพเอาท์ฟิวส์คัทเอาท์ หนึ่งอินซูเลเตอร์ 22 เควี 100 แอมป์ 12 เคเอ อสมมาตร,EA,"2,550.00",พัสดุหลัก,ใช้
